grouping,sort,section,units,grade,level_achieved,year,value
Attendance Rate,3,District_Perform,rate,All,NA,2015,96.3
Attendance Rate,3,District_Perform,rate,All,NA,2016,95.9
Attendance Rate,3,District_Perform,rate,All,NA,2017,95.9
Attendance Rate,3,District_Perform,rate,All,NA,2018,95.8
Attendance Rate,3,District_Perform,rate,All,NA,2019,95.8
Attendance Rate,3,District_Perform,rate,All,NA,2020,95.8
Attendance Rate,3,District_Perform,rate,All,NA,2021,99
Attendance Rate,3,District_Perform,rate,All,NA,2022,96.1
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,1995,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,1996,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,1997,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,1998,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,1999,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2000,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2001,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2002,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2003,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2004,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2005,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2006,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2007,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2008,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2009,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2010,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2011,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2012,NA
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2013,0.6
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2014,0.4
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2015,0.7
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2016,0.5
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2017,0.9
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2018,0.6
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2019,0.8
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2020,0.4
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2021,0.7
Annual Dropout Rate Gr 9-12,11,District_Perform,rate,All,NA,2022,1.1
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,1995,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,1996,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,1997,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,1998,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,1999,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2000,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2001,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2002,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2003,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2004,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2005,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2006,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2007,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2008,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2009,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2010,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2011,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2012,NA
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2013,95.9
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2014,94.8
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2015,96
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2016,96.3
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2017,97.2
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2018,96.1
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2019,96.9
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2020,96.9
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2021,97.3
4-Year Longitudinal Graduation Rate,7,District_Perform,rate,All,NA,2022,97.5
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,1995,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,1996,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,1997,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,1998,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,1999,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2000,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2001,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2002,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2003,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2004,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2005,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2006,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2007,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2008,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2009,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2010,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2011,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2012,NA
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2013,96.1
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2014,96.6
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2015,95.9
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2016,96.3
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2017,98.2
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2018,98
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2019,97
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2020,97
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2021,97.3
5-Year Longitudinal Graduation Rate,8,District_Perform,rate,All,NA,2022,97.7
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,1995,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,1996,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,1997,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,1998,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,1999,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2000,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2001,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2002,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2003,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2004,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2005,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2006,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2007,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2008,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2009,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2010,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2011,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2012,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2013,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2014,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2015,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2016,NA
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2017,97.5
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2018,98.3
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2019,98
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2020,97.2
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2021,97.1
6-Year Longitudinal Graduation Rate,9,District_Perform,rate,All,NA,2022,97.2
Annual Graduate Count,5,District_Perform,count,All,NA,1995,267
Annual Graduate Count,5,District_Perform,count,All,NA,1996,260
Annual Graduate Count,5,District_Perform,count,All,NA,1997,291
Annual Graduate Count,5,District_Perform,count,All,NA,1998,329
Annual Graduate Count,5,District_Perform,count,All,NA,1999,387
Annual Graduate Count,5,District_Perform,count,All,NA,2000,377
Annual Graduate Count,5,District_Perform,count,All,NA,2001,455
Annual Graduate Count,5,District_Perform,count,All,NA,2002,490
Annual Graduate Count,5,District_Perform,count,All,NA,2003,467
Annual Graduate Count,5,District_Perform,count,All,NA,2004,534
Annual Graduate Count,5,District_Perform,count,All,NA,2005,519
Annual Graduate Count,5,District_Perform,count,All,NA,2006,557
Annual Graduate Count,5,District_Perform,count,All,NA,2007,572
Annual Graduate Count,5,District_Perform,count,All,NA,2008,706
Annual Graduate Count,5,District_Perform,count,All,NA,2009,708
Annual Graduate Count,5,District_Perform,count,All,NA,2010,848
Annual Graduate Count,5,District_Perform,count,All,NA,2011,865
Annual Graduate Count,5,District_Perform,count,All,NA,2012,882
Annual Graduate Count,5,District_Perform,count,All,NA,2013,1012
Annual Graduate Count,5,District_Perform,count,All,NA,2014,1020
Annual Graduate Count,5,District_Perform,count,All,NA,2015,1015
Annual Graduate Count,5,District_Perform,count,All,NA,2016,1129
Annual Graduate Count,5,District_Perform,count,All,NA,2017,1114
Annual Graduate Count,5,District_Perform,count,All,NA,2018,1247
Annual Graduate Count,5,District_Perform,count,All,NA,2019,1283
Annual Graduate Count,5,District_Perform,count,All,NA,2020,1270
Annual Graduate Count,5,District_Perform,count,All,NA,2021,1272
Annual Graduate Count,5,District_Perform,count,All,NA,2022,1330
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,1995,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,1996,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,1997,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,1998,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,1999,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2000,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2001,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2002,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2003,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2004,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2005,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2006,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2007,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2008,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2009,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2010,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2011,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2012,NA
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2013,915
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2014,962
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2015,940
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2016,1049
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2017,1026
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2018,1156
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2019,1213
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2020,1202
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2021,1177
Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count,6,District_Perform,count,All,NA,2022,1220
Annual Dropout Rate,10,District_Perform,rate,All,NA,1995,1.6
Annual Dropout Rate,10,District_Perform,rate,All,NA,1996,2
Annual Dropout Rate,10,District_Perform,rate,All,NA,1997,1.3
Annual Dropout Rate,10,District_Perform,rate,All,NA,1998,0.8
Annual Dropout Rate,10,District_Perform,rate,All,NA,1999,0.3
Annual Dropout Rate,10,District_Perform,rate,All,NA,2000,0.6
Annual Dropout Rate,10,District_Perform,rate,All,NA,2001,0.5
Annual Dropout Rate,10,District_Perform,rate,All,NA,2002,0.4
Annual Dropout Rate,10,District_Perform,rate,All,NA,2003,0.5
Annual Dropout Rate,10,District_Perform,rate,All,NA,2004,0
Annual Dropout Rate,10,District_Perform,rate,All,NA,2005,0
Annual Dropout Rate,10,District_Perform,rate,All,NA,2006,0
Annual Dropout Rate,10,District_Perform,rate,All,NA,2007,0.2
Annual Dropout Rate,10,District_Perform,rate,All,NA,2008,0
Annual Dropout Rate,10,District_Perform,rate,All,NA,2009,0
Annual Dropout Rate,10,District_Perform,rate,All,NA,2010,0
Annual Dropout Rate,10,District_Perform,rate,All,NA,2011,0
Annual Dropout Rate,10,District_Perform,rate,All,NA,2012,0
Annual Dropout Rate,10,District_Perform,rate,All,NA,2013,NA
Annual Dropout Rate,10,District_Perform,rate,All,NA,2014,NA
Annual Dropout Rate,10,District_Perform,rate,All,NA,2015,NA
Annual Dropout Rate,10,District_Perform,rate,All,NA,2016,NA
Annual Dropout Rate,10,District_Perform,rate,All,NA,2017,NA
Annual Dropout Rate,10,District_Perform,rate,All,NA,2018,NA
Annual Dropout Rate,10,District_Perform,rate,All,NA,2019,NA
Annual Dropout Rate,10,District_Perform,rate,All,NA,2020,NA
Annual Dropout Rate,10,District_Perform,rate,All,NA,2021,NA
Annual Dropout Rate,10,District_Perform,rate,All,NA,2022,NA
Four-year Dropout Rate,12,District_Perform,rate,All,NA,1995,NA
Four-year Dropout Rate,12,District_Perform,rate,All,NA,1996,NA
Four-year Dropout Rate,12,District_Perform,rate,All,NA,1997,NA
Four-year Dropout Rate,12,District_Perform,rate,All,NA,1998,NA
Four-year Dropout Rate,12,District_Perform,rate,All,NA,1999,7.9
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2000,3.2
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2001,4
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2002,1
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2003,2
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2004,1.7
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2005,1.1
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2006,1.2
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2007,4.6
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2008,3.4
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2009,4.6
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2010,3.4
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2011,4.2
Four-year Dropout Rate,12,District_Perform,rate,All,NA,2012,2.8
